section;wkt
0;LINESTRING(104.647414 31.110664,104.647414 31.110664)
1;LINESTRING(104.647414 31.110664,104.647414 31.110664)
1;LINESTRING(104.538726 30.753918,104.538726 30.753918)
2;LINESTRING(104.538726 30.753918,104.538726 30.753918)
2;LINESTRING(104.313951 30.439936,104.313951 30.439936)
3;LINESTRING(104.313951 30.439936,104.313951 30.439936)
3;LINESTRING(104.134724 30.110226,104.134724 30.110226)
4;LINESTRING(104.134724 30.110226,104.134724 30.110226)
4;LINESTRING(104.089361 29.874922,104.089361 29.874922)
5;LINESTRING(104.089361 29.874922,104.089361 29.874922)
6;LINESTRING(103.991386 31.189689,103.991386 31.189689)
6;LINESTRING(103.739516 31.027538,103.654306 31.040725)
7;LINESTRING(103.991386 31.189689,103.991386 31.189689)
7;LINESTRING(104.150582 31.427303,104.150582 31.427303)
8;LINESTRING(104.150582 31.427303,104.150582 31.427303)
9;LINESTRING(103.654306 31.040725,103.739516 31.027538)
9;LINESTRING(103.585833 30.907838,103.585833 30.907838)
10;LINESTRING(103.585833 30.907838,103.585833 30.907838)
10;LINESTRING(103.431389 30.651699,103.431389 30.651699)
11;LINESTRING(103.431389 30.651699,103.431389 30.651699)
11;LINESTRING(103.250739 30.400886,103.250739 30.400886)
12;LINESTRING(103.250739 30.400886,103.250739 30.400886)
12;LINESTRING(102.976553 30.227041,102.976553 30.227041)
13;LINESTRING(102.976553 30.227041,102.976553 30.227041)
